lizard_id,trt,sex,current_enclosure,egg_id,clutch,egg_enclosure,egg_date,hatch_date,death_date,liz_status,mortality,notes,maze,group,day,batch,choice,errors,arm_chosen,obs
3212,B_23,,E4003_23,EG3212,CL872_24,E008_F120,15/12/2023,31/1/2024,,ALIVE,0,,3,O,22,15,0,1,S,
3200,B_23,,E370_23,EG3200,CL874_24,E040_F120,15/12/2023,2/2/2024,,ALIVE,0,,4,O,22,15,0,2,NE,
3023,B_28,,E0274_23,EG3023,CL830_24,E015_M,4/12/2023,3/1/2024,,ALIVE,0,,1,P,22,16,0,2,N,
2993,B_28,,E569_23,EG2993,CL822_24,E051_F120,4/12/2023,5/1/2024,,ALIVE,0,,2,P,22,16,0,2,NE,
2919,B_23,,E745_23,EG2919,CL806_24,E014_M,29/11/2023,15/1/2024,,ALIVE,0,,3,P,22,16,0,3,NE,
2950,B_28,,E269_23,EG2950,CL813_24,E036_F120,1/12/2023,1/1/2024,,ALIVE,0,,4,P,22,16,0,2,N,
3065,A_23,,E055_23,EG3065,CL842_24,E010_F120,6/12/2023,22/1/2024,,ALIVE,0,,1,Q,22,17,0,1,NE,
3038,A_23,,E133_23,EG3038,CL833_24,E008_F120,4/12/2023,19/1/2024,,ALIVE,0,,2,Q,22,17,0,3,N,
3090,A_28,,E195_23,EG3090,CL848_24,E011_M/E024_M,8/12/2023,8/1/2024,,ALIVE,0,,3,Q,22,17,0,1,S,
3031,A_23,,E720_23,EG3031,CL831_24,E033_F120,4/12/2023,22/1/2024,,ALIVE,0,,4,Q,22,17,0,1,N,
3100,B_23,,E625_23,EG3100,CL851_24,E012_M,8/12/2023,28/1/2024,,ALIVE,0,,1,R,22,18,0,2,SW,
2981,B_23,,E837_23,EG2981,CL820_24,E050_F120,4/12/2023,24/1/2024,,ALIVE,0,,2,R,22,18,1,0,NW,
2995,B_23,,E1102_23,EG2995,CL822_24,E051_F120,4/12/2023,24/1/2024,,ALIVE,0,Dented,3,R,22,18,0,2,SE,
3193,A_28,,E747_23,EG3193,CL873_24,E038_F120,15/12/2023,17/1/2024,,ALIVE,0,,4,R,22,18,0,1,SE,
3033,A_28,,E095_23,EG3033,CL831_24,E033_F120,4/12/2023,3/1/2024,,ALIVE,0,,1,S,22,19,0,2,N,
2928,A_23,,E1025_23,EG2928,CL808_24,E013_M,29/11/2023,19/1/2024,,ALIVE,0,,2,S,22,19,0,1,SW,
2982,A_28,,E078_23,EG2982,CL820_24,E050_F120,4/12/2023,8/1/2024,,ALIVE,0,,3,S,22,19,0,1,NW,
3081,B_28,,E555_23,EG3081,CL846_24,E050_F120,8/12/2023,8/1/2024,,ALIVE,0,,4,S,22,19,0,1,SE,
2924,B_23,,E703_23,EG2924,CL807_24,E011_M/E024_M,29/11/2023,17/1/2024,,ALIVE,0,,1,T,22,20,0,1,N,
3176,B_28,,E524_23,EG3176,CL869_24,E053_F120,15/12/2023,10/1/2024,,ALIVE,0,,2,T,22,20,1,0,NW,
3195,B_28,,E284_23,EG3195,CL873_24,E038_F120,15/12/2023,15/1/2024,,ALIVE,0,,3,T,22,20,0,1,S,
3103,B_23,,E2001_23,EG3103,CL851_24,E012_M,8/12/2023,26/1/2024,,ALIVE,0,,4,T,22,20,1,0,S,
2926,A_23,,E268_23,EG2926,CL808_24,E013_M,29/11/2023,19/1/2024,,ALIVE,0,,1,A,23,1,1,0,SE,
3158,B_23,,E3001_23,EG3158,CL865_24,E018_M,13/12/2023,28/1/2024,,ALIVE,0,,2,A,23,1,0,2,N,
2908,A_23,,E448_23,EG2908,CL803_24,E038_F120,29/11/2023,19/1/2024,,ALIVE,0,,3,A,23,1,1,0,SW,
2959,A_23,,E1023_23,EG2959,CL815_24,"E017_M, E007_M",1/12/2023,19/1/2024,,ALIVE,0,Might be two clutches.,4,A,23,1,1,0,S,
3039,B_23,,E617_23,EG3039,CL833_24,E008_F120,4/12/2023,22/1/2024,,ALIVE,0,,1,B,23,2,0,4,N,
3029,A_28,,E773_23,EG3029,CL831_24,E033_F120,4/12/2023,1/1/2024,,ALIVE,0,,2,B,23,2,1,0,NW,
2983,A_23,,E633_23,EG2983,CL820_24,E050_F120,4/12/2023,24/1/2024,,ALIVE,0,,3,B,23,2,0,18,N,
3042,A_23,,E1101_23,EG3042,CL834_24,E027_F120,6/12/2023,24/1/2024,,ALIVE,0,,4,B,23,2,0,4,N,
3082,A_28,,E197_23,EG3082,CL847_24,E001_F120,8/12/2023,10/1/2024,,ALIVE,0,,1,C,23,3,0,11,NE,
2984,A_28,,E564_23,EG2984,CL820_24,E050_F120,4/12/2023,5/1/2024,,ALIVE,0,,2,C,23,3,0,2,SE,
3051,B_28,,E296_23,EG3051,CL836_24,E008_F120,6/12/2023,5/1/2024,,ALIVE,0,,3,C,23,3,0,3,NW,
3179,B_28,,E262_23,EG3179,CL869_24,E053_F120,15/12/2023,12/1/2024,,ALIVE,0,,4,C,23,3,0,2,N,
3099,B_28,,E158_23,EG3099,CL851_24,E012_M,8/12/2023,8/1/2024,,ALIVE,0,,1,D,23,4,0,1,NE,
3095,A_23,,E734_23,EG3095,CL849_24,E014_F120,8/12/2023,22/1/2024,,ALIVE,0,,2,D,23,4,1,0,NW,
2931,B_28,,E178_23,EG2931,CL808_24,E013_M,29/11/2023,1/1/2024,,ALIVE,0,,3,D,23,4,1,0,SW,
2997,A_28,,E510_23,EG2997,CL822_24,E051_F120,4/12/2023,8/1/2024,,ALIVE,0,Dented,4,D,23,4,1,0,S,
2951,B_28,,E115_23,EG2951,CL813_24,E036_F120,1/12/2023,1/1/2024,,ALIVE,0,,1,E,23,5,0,1,S,
2929,B_28,,E632_23,EG2929,CL808_24,E013_M,29/11/2023,1/1/2024,,ALIVE,0,,2,E,23,5,NA,NA,NA,
2960,B_23,,E387_23,EG2960,CL815_24,"E017_M, E007_M",1/12/2023,22/1/2024,,ALIVE,0,Might be two clutches.,3,E,23,5,1,0,SW,
3098,A_28,,E185_23,EG3098,CL850_24,E028_M,8/12/2023,8/1/2024,,ALIVE,0,,4,E,23,5,0,2,NE,
3079,A_28,,E820_23,EG3079,CL846_24,E050_F120,8/12/2023,8/1/2024,,ALIVE,0,,1,F,23,6,0,13,NE,
3086,A_28,,E234_23,EG3086,CL848_24,E011_M/E024_M,8/12/2023,8/1/2024,,ALIVE,0,,2,F,23,6,0,1,N,
3159,A_28,,E169_23,EG3159,CL865_24,E018_M,13/12/2023,10/1/2024,,ALIVE,0,,3,F,23,6,1,0,SW,
3014,A_28,,E0154_23,EG3014,CL827_24,E019_M,4/12/2023,3/1/2024,,ALIVE,0,,4,F,23,6,0,1,SW,
2968,A_23,,E490_23,EG2968,CL817_24,E018_M,1/12/2023,19/1/2024,,ALIVE,0,Might be two clutches.,1,G,23,7,0,1,S,
2873,A_23,,E607_23,EG2873,CL794_24,E036_F120,27/11/2023,19/1/2024,,ALIVE,0,,2,G,23,7,1,0,NW,
3009,A_23,,E1024_23,EG3009,CL825_24,E011_M/E024_M,4/12/2023,19/1/2024,,ALIVE,0,,3,G,23,7,0,2,SE,
2967,B_23,,E621_23,EG2967,CL817_24,E018_M,1/12/2023,22/1/2024,,ALIVE,0,Might be two clutches.,4,G,23,7,0,2,NE,
2925,B_28,,E884_23,EG2925,CL807_24,E011_M/E024_M,29/11/2023,1/1/2024,,ALIVE,0,,1,H,23,8,1,0,SE,
3191,B_28,,E694_23,EG3191,CL872_24,E008_F120,15/12/2023,15/1/2024,,ALIVE,0,,2,H,23,8,1,0,NW,
2970,B_28,,E168_23,EG2970,CL817_24,E018_M,1/12/2023,1/1/2024,,ALIVE,0,Might be two clutches. Where?,3,H,23,8,0,2,NE,
3198,B_28,,E765_23,EG3198,CL874_24,E040_F120,15/12/2023,15/1/2024,,ALIVE,0,,4,H,23,8,0,4,NE,
3188,B_28,,E311_23,EG3188,CL872_24,E008_F120,15/12/2023,15/1/2024,,ALIVE,0,,1,I,23,9,0,4,N,
3178,A_28,,E779_23,EG3178,CL869_24,E053_F120,15/12/2023,12/1/2024,,ALIVE,0,,2,I,23,9,0,1,N,
3157,B_28,,E701_23,EG3157,CL865_24,E018_M,13/12/2023,12/1/2024,,ALIVE,0,,3,I,23,9,0,3,NW,
3109,A_28,,E464_23,EG3109,CL852_24,E042_F120,11/12/2023,12/1/2024,,ALIVE,0,,4,I,23,9,0,5,N,
3154,A_28,,E510_23,EG3154,CL865_24,E018_M,13/12/2023,12/1/2024,,ALIVE,0,,1,J,23,10,1,0,SE,
2971,A_23,,E488_23,EG2971,CL817_24,E018_M,1/12/2023,19/1/2024,,ALIVE,0,Might be two clutches.,2,J,23,10,0,3,SW,
3201,A_28,,E604_23,EG3201,CL874_24,E040_F120,15/12/2023,12/1/2024,,ALIVE,0,,3,J,23,10,0,2,NE,
2922,A_23,,E660_23,EG2922,CL807_24,E011_M/E024_M,29/11/2023,19/1/2024,,ALIVE,0,,4,J,23,10,0,6,SE,
3078,A_23,,E201_23,EG3078,CL846_24,E050_F120,8/12/2023,24/1/2024,,ALIVE,0,,1,K,23,11,1,0,SE,
2958,B_23,,E493_23,EG2958,CL815_24,"E017_M, E007_M",1/12/2023,22/1/2024,,ALIVE,0,Might be two clutches.,2,K,23,11,0,6,N,
2911,B_23,,E130_23,EG2911,CL803_24,E038_F120,29/11/2023,19/1/2024,,ALIVE,0,,3,K,23,11,0,1,NW,
3025,A_23,,E098_23,EG3025,CL830_24,E015_M,4/12/2023,19/1/2024,,ALIVE,0,,4,K,23,11,0,1,NW,
2904,A_23,,E044_23,EG2904,CL802_24,E014_F120,29/11/2023,17/1/2024,,ALIVE,0,,1,L,23,12,0,1,SW,
2953,B_23,,E157_23,EG2953,CL813_24,E036_F120,1/12/2023,17/1/2024,,ALIVE,0,,2,L,23,12,1,0,NW,
2952,A_23,,E1026_23,EG2952,CL813_24,E036_F120,1/12/2023,19/1/2024,,ALIVE,0,,3,L,23,12,0,4,N,
2930,B_23,,E532_23,EG2930,CL808_24,E013_M,29/11/2023,19/1/2024,,ALIVE,0,,4,L,23,12,1,0,S,
3155,B_23,,E368_23,EG3155,CL865_24,E018_M,13/12/2023,12/1/2024,,ALIVE,0,,1,M,23,13,0,2,N,
3102,A_28,,E066_23,EG3102,CL851_24,E012_M,8/12/2023,10/1/2024,,ALIVE,0,,2,M,23,13,0,1,NE,
3093,A_23,,E073_23,EG3093,CL849_24,E014_F120,8/12/2023,19/1/2024,,ALIVE,0,,3,M,23,13,0,6,NW,
3041,B_28,,E198_23,EG3041,CL833_24,E008_F120,4/12/2023,1/1/2024,,ALIVE,0,,4,M,23,13,1,0,S,
3024,A_28,,E540_23,EG3024,CL830_24,E015_M,4/12/2023,1/1/2024,,ALIVE,0,,1,N,23,14,0,1,S,
2885,B_23,,E548_23,EG2885,CL797_24,E031,27/11/2023,15/1/2024,,ALIVE,0,,2,N,23,14,0,3,S,
3040,A_28,,E477_23,EG3040,CL833_24,E008_F120,4/12/2023,1/1/2024,,ALIVE,0,,3,N,23,14,0,2,NW,
2851,B_23,,E667_23,EG2851,CL786_24,E004_F120,24/11/2023,17/1/2024,,ALIVE,0,,4,N,23,14,0,3,NE,
3034,B_23,,E1021_23,EG3034,CL831_24,E033_F120,4/12/2023,19/1/2024,,ALIVE,0,Dented/dessicated,1,O,23,15,1,0,SE,
2961,B_28,,E123_23,EG2961,CL815_24,"E017_M, E007_M",1/12/2023,1/1/2024,,ALIVE,0,Might be two clutches. Where?,2,O,23,15,1,0,NW,
3212,B_23,,E4003_23,EG3212,CL872_24,E008_F120,15/12/2023,31/1/2024,,ALIVE,0,,3,O,23,15,0,1,SE,
3200,B_23,,E370_23,EG3200,CL874_24,E040_F120,15/12/2023,2/2/2024,,ALIVE,0,,4,O,23,15,0,2,SE,
3023,B_28,,E0274_23,EG3023,CL830_24,E015_M,4/12/2023,3/1/2024,,ALIVE,0,,1,P,23,16,0,5,SW,
2993,B_28,,E569_23,EG2993,CL822_24,E051_F120,4/12/2023,5/1/2024,,ALIVE,0,,2,P,23,16,0,5,S,
2919,B_23,,E745_23,EG2919,CL806_24,E014_M,29/11/2023,15/1/2024,,ALIVE,0,,3,P,23,16,0,1,NW,
2950,B_28,,E269_23,EG2950,CL813_24,E036_F120,1/12/2023,1/1/2024,,ALIVE,0,,4,P,23,16,0,4,N,
3065,A_23,,E055_23,EG3065,CL842_24,E010_F120,6/12/2023,22/1/2024,,ALIVE,0,,1,Q,23,17,0,1,N,
3038,A_23,,E133_23,EG3038,CL833_24,E008_F120,4/12/2023,19/1/2024,,ALIVE,0,,2,Q,23,17,0,4,S,
3090,A_28,,E195_23,EG3090,CL848_24,E011_M/E024_M,8/12/2023,8/1/2024,,ALIVE,0,,3,Q,23,17,0,2,N,
3031,A_23,,E720_23,EG3031,CL831_24,E033_F120,4/12/2023,22/1/2024,,ALIVE,0,,4,Q,23,17,0,4,NE,
3100,B_23,,E625_23,EG3100,CL851_24,E012_M,8/12/2023,28/1/2024,,ALIVE,0,,1,R,23,18,0,2,SW,
2981,B_23,,E837_23,EG2981,CL820_24,E050_F120,4/12/2023,24/1/2024,,ALIVE,0,,2,R,23,18,0,2,NE,
2995,B_23,,E1102_23,EG2995,CL822_24,E051_F120,4/12/2023,24/1/2024,,ALIVE,0,Dented,3,R,23,18,0,7,NW,
3193,A_28,,E747_23,EG3193,CL873_24,E038_F120,15/12/2023,17/1/2024,,ALIVE,0,,4,R,23,18,0,1,NE,
3033,A_28,,E095_23,EG3033,CL831_24,E033_F120,4/12/2023,3/1/2024,,ALIVE,0,,1,S,23,19,0,2,N,
2928,A_23,,E1025_23,EG2928,CL808_24,E013_M,29/11/2023,19/1/2024,,ALIVE,0,,2,S,23,19,0,1,N,
2982,A_28,,E078_23,EG2982,CL820_24,E050_F120,4/12/2023,8/1/2024,,ALIVE,0,,3,S,23,19,1,0,S,
3081,B_28,,E555_23,EG3081,CL846_24,E050_F120,8/12/2023,8/1/2024,,ALIVE,0,,4,S,23,19,0,4,SE,
2924,B_23,,E703_23,EG2924,CL807_24,E011_M/E024_M,29/11/2023,17/1/2024,,ALIVE,0,,1,T,23,20,0,1,N,
3176,B_28,,E524_23,EG3176,CL869_24,E053_F120,15/12/2023,10/1/2024,,ALIVE,0,,2,T,23,20,0,3,SE,
3195,B_28,,E284_23,EG3195,CL873_24,E038_F120,15/12/2023,15/1/2024,,ALIVE,0,,3,T,23,20,0,1,NW,
3103,B_23,,E2001_23,EG3103,CL851_24,E012_M,8/12/2023,26/1/2024,,ALIVE,0,,4,T,23,20,0,3,NE,
2926,A_23,,E268_23,EG2926,CL808_24,E013_M,29/11/2023,19/1/2024,,ALIVE,0,,1,A,24,20,1,0,SE,
3158,B_23,,E3001_23,EG3158,CL865_24,E018_M,13/12/2023,28/1/2024,,ALIVE,0,,2,A,24,20,0,1,SW,
2908,A_23,,E448_23,EG2908,CL803_24,E038_F120,29/11/2023,19/1/2024,,ALIVE,0,,3,A,24,20,0,14,S,
2959,A_23,,E1023_23,EG2959,CL815_24,"E017_M, E007_M",1/12/2023,19/1/2024,,ALIVE,0,Might be two clutches.,4,A,24,20,0,1,NW,
3039,B_23,,E617_23,EG3039,CL833_24,E008_F120,4/12/2023,22/1/2024,,ALIVE,0,,1,B,24,19,0,3,NW,
3029,A_28,,E773_23,EG3029,CL831_24,E033_F120,4/12/2023,1/1/2024,,ALIVE,0,,2,B,24,19,1,0,NW,
2983,A_23,,E633_23,EG2983,CL820_24,E050_F120,4/12/2023,24/1/2024,,ALIVE,0,,3,B,24,19,0,1,NE,
3042,A_23,,E1101_23,EG3042,CL834_24,E027_F120,6/12/2023,24/1/2024,,ALIVE,0,,4,B,24,19,0,2,N,
3082,A_28,,E197_23,EG3082,CL847_24,E001_F120,8/12/2023,10/1/2024,,ALIVE,0,,1,C,24,18,0,1,SW,
2984,A_28,,E564_23,EG2984,CL820_24,E050_F120,4/12/2023,5/1/2024,,ALIVE,0,,2,C,24,18,0,1,N,
3051,B_28,,E296_23,EG3051,CL836_24,E008_F120,6/12/2023,5/1/2024,,ALIVE,0,,3,C,24,18,1,0,SW,
3179,B_28,,E262_23,EG3179,CL869_24,E053_F120,15/12/2023,12/1/2024,,ALIVE,0,,4,C,24,18,0,4,NE,
3099,B_28,,E158_23,EG3099,CL851_24,E012_M,8/12/2023,8/1/2024,,ALIVE,0,,1,D,24,17,1,0,SE,
3095,A_23,,E734_23,EG3095,CL849_24,E014_F120,8/12/2023,22/1/2024,,ALIVE,0,,2,D,24,17,0,3,N,
2931,B_28,,E178_23,EG2931,CL808_24,E013_M,29/11/2023,1/1/2024,,ALIVE,0,,3,D,24,17,0,2,NW,
2997,A_28,,E510_23,EG2997,CL822_24,E051_F120,4/12/2023,8/1/2024,,ALIVE,0,Dented,4,D,24,17,0,4,SW,
2951,B_28,,E115_23,EG2951,CL813_24,E036_F120,1/12/2023,1/1/2024,,ALIVE,0,,1,E,24,16,0,8,S,
2929,B_28,,E632_23,EG2929,CL808_24,E013_M,29/11/2023,1/1/2024,,ALIVE,0,,2,E,24,16,NA,NA,NA,
2960,B_23,,E387_23,EG2960,CL815_24,"E017_M, E007_M",1/12/2023,22/1/2024,,ALIVE,0,Might be two clutches.,3,E,24,16,0,1,S,
3098,A_28,,E185_23,EG3098,CL850_24,E028_M,8/12/2023,8/1/2024,,ALIVE,0,,4,E,24,16,0,1,SW,
3079,A_28,,E820_23,EG3079,CL846_24,E050_F120,8/12/2023,8/1/2024,,ALIVE,0,,1,F,24,15,1,0,SE,
3086,A_28,,E234_23,EG3086,CL848_24,E011_M/E024_M,8/12/2023,8/1/2024,,ALIVE,0,,2,F,24,15,1,0,NW,
3159,A_28,,E169_23,EG3159,CL865_24,E018_M,13/12/2023,10/1/2024,,ALIVE,0,,3,F,24,15,0,5,S,
3014,A_28,,E0154_23,EG3014,CL827_24,E019_M,4/12/2023,3/1/2024,,ALIVE,0,,4,F,24,15,1,0,S,
2968,A_23,,E490_23,EG2968,CL817_24,E018_M,1/12/2023,19/1/2024,,ALIVE,0,Might be two clutches.,1,G,24,14,0,2,NW,
2873,A_23,,E607_23,EG2873,CL794_24,E036_F120,27/11/2023,19/1/2024,,ALIVE,0,,2,G,24,14,0,1,S,
3009,A_23,,E1024_23,EG3009,CL825_24,E011_M/E024_M,4/12/2023,19/1/2024,,ALIVE,0,,3,G,24,14,0,1,S,
2967,B_23,,E621_23,EG2967,CL817_24,E018_M,1/12/2023,22/1/2024,,ALIVE,0,Might be two clutches.,4,G,24,14,0,2,NW,
2925,B_28,,E884_23,EG2925,CL807_24,E011_M/E024_M,29/11/2023,1/1/2024,,ALIVE,0,,1,H,24,13,0,2,NW,
3191,B_28,,E694_23,EG3191,CL872_24,E008_F120,15/12/2023,15/1/2024,,ALIVE,0,,2,H,24,13,1,0,NW,
2970,B_28,,E168_23,EG2970,CL817_24,E018_M,1/12/2023,1/1/2024,,ALIVE,0,Might be two clutches. Where?,3,H,24,13,0,10,SW,
3198,B_28,,E765_23,EG3198,CL874_24,E040_F120,15/12/2023,15/1/2024,,ALIVE,0,,4,H,24,13,0,4,NW,
3188,B_28,,E311_23,EG3188,CL872_24,E008_F120,15/12/2023,15/1/2024,,ALIVE,0,,1,I,24,12,1,0,SE,
3178,A_28,,E779_23,EG3178,CL869_24,E053_F120,15/12/2023,12/1/2024,,ALIVE,0,,2,I,24,12,0,3,NE,
3157,B_28,,E701_23,EG3157,CL865_24,E018_M,13/12/2023,12/1/2024,,ALIVE,0,,3,I,24,12,0,1,S,
3109,A_28,,E464_23,EG3109,CL852_24,E042_F120,11/12/2023,12/1/2024,,ALIVE,0,,4,I,24,12,0,20,N,
3154,A_28,,E510_23,EG3154,CL865_24,E018_M,13/12/2023,12/1/2024,,ALIVE,0,,1,J,24,11,0,7,S,
2971,A_23,,E488_23,EG2971,CL817_24,E018_M,1/12/2023,19/1/2024,,ALIVE,0,Might be two clutches.,2,J,24,11,1,0,NW,
3201,A_28,,E604_23,EG3201,CL874_24,E040_F120,15/12/2023,12/1/2024,,ALIVE,0,,3,J,24,11,0,2,SE,
2922,A_23,,E660_23,EG2922,CL807_24,E011_M/E024_M,29/11/2023,19/1/2024,,ALIVE,0,,4,J,24,11,0,2,NE,
3078,A_23,,E201_23,EG3078,CL846_24,E050_F120,8/12/2023,24/1/2024,,ALIVE,0,,1,K,24,10,0,3,NE,
2958,B_23,,E493_23,EG2958,CL815_24,"E017_M, E007_M",1/12/2023,22/1/2024,,ALIVE,0,Might be two clutches.,2,K,24,10,0,21,SE,
2911,B_23,,E130_23,EG2911,CL803_24,E038_F120,29/11/2023,19/1/2024,,ALIVE,0,,3,K,24,10,0,6,NW,
3025,A_23,,E098_23,EG3025,CL830_24,E015_M,4/12/2023,19/1/2024,,ALIVE,0,,4,K,24,10,0,5,SE,
2904,A_23,,E044_23,EG2904,CL802_24,E014_F120,29/11/2023,17/1/2024,,ALIVE,0,,1,L,24,9,1,0,SE,
2953,B_23,,E157_23,EG2953,CL813_24,E036_F120,1/12/2023,17/1/2024,,ALIVE,0,,2,L,24,9,0,10,N,
2952,A_23,,E1026_23,EG2952,CL813_24,E036_F120,1/12/2023,19/1/2024,,ALIVE,0,,3,L,24,9,1,0,SW,
2930,B_23,,E532_23,EG2930,CL808_24,E013_M,29/11/2023,19/1/2024,,ALIVE,0,,4,L,24,9,1,0,S,
3155,B_23,,E368_23,EG3155,CL865_24,E018_M,13/12/2023,12/1/2024,,ALIVE,0,,1,M,24,8,1,0,SE,
3102,A_28,,E066_23,EG3102,CL851_24,E012_M,8/12/2023,10/1/2024,,ALIVE,0,,2,M,24,8,1,0,NW,
3093,A_23,,E073_23,EG3093,CL849_24,E014_F120,8/12/2023,19/1/2024,,ALIVE,0,,3,M,24,8,0,4,NE,
3041,B_28,,E198_23,EG3041,CL833_24,E008_F120,4/12/2023,1/1/2024,,ALIVE,0,,4,M,24,8,0,5,NW,
3024,A_28,,E540_23,EG3024,CL830_24,E015_M,4/12/2023,1/1/2024,,ALIVE,0,,1,N,24,7,0,1,NE,
2885,B_23,,E548_23,EG2885,CL797_24,E031,27/11/2023,15/1/2024,,ALIVE,0,,2,N,24,7,1,0,NW,
3040,A_28,,E477_23,EG3040,CL833_24,E008_F120,4/12/2023,1/1/2024,,ALIVE,0,,3,N,24,7,0,2,N,
2851,B_23,,E667_23,EG2851,CL786_24,E004_F120,24/11/2023,17/1/2024,,ALIVE,0,,4,N,24,7,0,3,SE,
3034,B_23,,E1021_23,EG3034,CL831_24,E033_F120,4/12/2023,19/1/2024,,ALIVE,0,Dented/dessicated,1,O,24,6,0,5,NW,
2961,B_28,,E123_23,EG2961,CL815_24,"E017_M, E007_M",1/12/2023,1/1/2024,,ALIVE,0,Might be two clutches. Where?,2,O,24,6,0,11,SE=W,
3212,B_23,,E4003_23,EG3212,CL872_24,E008_F120,15/12/2023,31/1/2024,,ALIVE,0,,3,O,24,6,1,0,SW,
3200,B_23,,E370_23,EG3200,CL874_24,E040_F120,15/12/2023,2/2/2024,,ALIVE,0,,4,O,24,6,0,1,SE,
3023,B_28,,E0274_23,EG3023,CL830_24,E015_M,4/12/2023,3/1/2024,,ALIVE,0,,1,P,24,5,0,1,S,
2993,B_28,,E569_23,EG2993,CL822_24,E051_F120,4/12/2023,5/1/2024,,ALIVE,0,,2,P,24,5,0,3,N,
2919,B_23,,E745_23,EG2919,CL806_24,E014_M,29/11/2023,15/1/2024,,ALIVE,0,,3,P,24,5,0,1,NW,
2950,B_28,,E269_23,EG2950,CL813_24,E036_F120,1/12/2023,1/1/2024,,ALIVE,0,,4,P,24,5,0,1,SW,
3065,A_23,,E055_23,EG3065,CL842_24,E010_F120,6/12/2023,22/1/2024,,ALIVE,0,,1,Q,24,4,0,1,N,
3038,A_23,,E133_23,EG3038,CL833_24,E008_F120,4/12/2023,19/1/2024,,ALIVE,0,,2,Q,24,4,0,2,NE,
3090,A_28,,E195_23,EG3090,CL848_24,E011_M/E024_M,8/12/2023,8/1/2024,,ALIVE,0,,3,Q,24,4,0,2,SE,
3031,A_23,,E720_23,EG3031,CL831_24,E033_F120,4/12/2023,22/1/2024,,ALIVE,0,,4,Q,24,4,0,2,N,
3100,B_23,,E625_23,EG3100,CL851_24,E012_M,8/12/2023,28/1/2024,,ALIVE,0,,1,R,24,3,0,4,N,
2981,B_23,,E837_23,EG2981,CL820_24,E050_F120,4/12/2023,24/1/2024,,ALIVE,0,,2,R,24,3,0,1,SW,
2995,B_23,,E1102_23,EG2995,CL822_24,E051_F120,4/12/2023,24/1/2024,,ALIVE,0,Dented,3,R,24,3,1,0,SW,
3193,A_28,,E747_23,EG3193,CL873_24,E038_F120,15/12/2023,17/1/2024,,ALIVE,0,,4,R,24,3,0,1,SW,
3033,A_28,,E095_23,EG3033,CL831_24,E033_F120,4/12/2023,3/1/2024,,ALIVE,0,,1,S,24,2,0,9,N,
2928,A_23,,E1025_23,EG2928,CL808_24,E013_M,29/11/2023,19/1/2024,,ALIVE,0,,2,S,24,2,0,2,N,
2982,A_28,,E078_23,EG2982,CL820_24,E050_F120,4/12/2023,8/1/2024,,ALIVE,0,,3,S,24,2,0,1,N,
3081,B_28,,E555_23,EG3081,CL846_24,E050_F120,8/12/2023,8/1/2024,,ALIVE,0,,4,S,24,2,0,1,SE,
2924,B_23,,E703_23,EG2924,CL807_24,E011_M/E024_M,29/11/2023,17/1/2024,,ALIVE,0,,1,T,24,1,0,4,S,
3176,B_28,,E524_23,EG3176,CL869_24,E053_F120,15/12/2023,10/1/2024,,ALIVE,0,,2,T,24,1,0,11,SW,
3195,B_28,,E284_23,EG3195,CL873_24,E038_F120,15/12/2023,15/1/2024,,ALIVE,0,,3,T,24,1,0,1,S,
3103,B_23,,E2001_23,EG3103,CL851_24,E012_M,8/12/2023,26/1/2024,,ALIVE,0,,4,T,24,1,0,8,SW,
2926,A_23,,E268_23,EG2926,CL808_24,E013_M,29/11/2023,19/1/2024,,ALIVE,0,,1,A,25,,,,,
3158,B_23,,E3001_23,EG3158,CL865_24,E018_M,13/12/2023,28/1/2024,,ALIVE,0,,2,A,25,,,,,
2908,A_23,,E448_23,EG2908,CL803_24,E038_F120,29/11/2023,19/1/2024,,ALIVE,0,,3,A,25,,,,,
2959,A_23,,E1023_23,EG2959,CL815_24,"E017_M, E007_M",1/12/2023,19/1/2024,,ALIVE,0,Might be two clutches.,4,A,25,,,,,
3039,B_23,,E617_23,EG3039,CL833_24,E008_F120,4/12/2023,22/1/2024,,ALIVE,0,,1,B,25,,,,,
3029,A_28,,E773_23,EG3029,CL831_24,E033_F120,4/12/2023,1/1/2024,,ALIVE,0,,2,B,25,,,,,
2983,A_23,,E633_23,EG2983,CL820_24,E050_F120,4/12/2023,24/1/2024,,ALIVE,0,,3,B,25,,,,,
3042,A_23,,E1101_23,EG3042,CL834_24,E027_F120,6/12/2023,24/1/2024,,ALIVE,0,,4,B,25,,,,,
3082,A_28,,E197_23,EG3082,CL847_24,E001_F120,8/12/2023,10/1/2024,,ALIVE,0,,1,C,25,,,,,
2984,A_28,,E564_23,EG2984,CL820_24,E050_F120,4/12/2023,5/1/2024,,ALIVE,0,,2,C,25,,,,,
3051,B_28,,E296_23,EG3051,CL836_24,E008_F120,6/12/2023,5/1/2024,,ALIVE,0,,3,C,25,,,,,
3179,B_28,,E262_23,EG3179,CL869_24,E053_F120,15/12/2023,12/1/2024,,ALIVE,0,,4,C,25,,,,,
3099,B_28,,E158_23,EG3099,CL851_24,E012_M,8/12/2023,8/1/2024,,ALIVE,0,,1,D,25,,,,,
3095,A_23,,E734_23,EG3095,CL849_24,E014_F120,8/12/2023,22/1/2024,,ALIVE,0,,2,D,25,,,,,
